# Soundness module compatibility by platform target. One row per top-level module.
# Generated from build.mill (per-core `scalaJs`/`scalaNative` flags) and per-module platform
# backends (src/{jvm,native,wasi,wasm} components and src/*-jvm, src/*-native source sets).
#
# jvm   : yes  = runs on the JVM (every module).
# js    : yes  = cross-compiles to Scala.js.
#         core = shared `core` cross-compiles, but the module's platform functionality has a
#                JVM-and/or-WASI-only backend (no Scala.js backend) — e.g. galilei's filesystem.
#         no   = JVM-only (its `core` sets `scalaJs = false`); see notes for why.
# native: cross-compilation to Scala Native, read the same way as `js`. `scalaNative` defaults to
#         `scalaJs`, so this differs only where a module overrides it — typically because it
#         reads tables from classpath resources, which Scala Native has no analogue for.
# wasm  : wasi = has a native WebAssembly/WASI backend submodule (src/wasi or src/wasm).
#         js   = no native backend, but compiles to WebAssembly via the Scala.js -> scala-wasm pipeline (pure code).
#         core = `core` cross-compiles but the backend is JVM-only (no WASM backend).
#         no   = JVM-only.
# notes : platform backends present, JVM-only reason, or JVM-only submodules of an otherwise-JS-capable module.
module	jvm	js	native	wasm	notes
abacist	yes	yes	yes	js	
acyclicity	yes	yes	yes	js	
adversaria	yes	yes	yes	js	
ambience	yes	yes	yes	wasi	backends: core+wasi
anamnesis	yes	yes	yes	js	
anthology	yes	no	no	no	Scala/Java/Kotlin compilers and the JS, Native, DEX and APK linkers (dotty, `hellenism`)
anticipation	yes	yes	yes	js	
aperture	yes	yes	yes	js	
apoplexy	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
archimedes	yes	yes	no	js	
austronesian	yes	yes	yes	js	
aviation	yes	yes	yes	wasi	backends: core+wasi
baroque	yes	yes	yes	js	
beneficence	yes	yes	yes	js	JVM-only submodule(s): plugin
bitumen	yes	core	core	core	backends: core+jvm; JVM-only submodule(s): jvm
breviloquence	yes	yes	yes	js	JVM-only submodule(s): staged
burdock	yes	no	no	no	packaging; depends on JVM-only `zeppelin`/`telekinesis`
cacophony	yes	no	no	no	audio (`javax.sound.sampled`)
caduceus	yes	yes	no	js	JVM-only submodule(s): resend
caesura	yes	yes	yes	js	
camouflage	yes	yes	yes	js	
capricious	yes	yes	yes	wasi	backends: core+wasi
cardinality	yes	yes	yes	js	
cataclysm	yes	yes	no	js	
charisma	yes	yes	yes	js	
chiaroscuro	yes	yes	yes	js	
clavichord	yes	yes	yes	js	
coaxial	yes	core	core	wasi	backends: core+jvm+wasi; JVM-only submodule(s): jvm
concordance	yes	yes	yes	js	
contextual	yes	yes	yes	js	
contingency	yes	yes	yes	js	
corpuscular	yes	yes	yes	js	
cosmopolite	yes	yes	yes	js	
degustation	yes	no	no	no	wraps the Scala compiler's TASTy unpickler
delicious	yes	yes	yes	js	JVM-only submodule(s): ansi, scala
dendrology	yes	yes	yes	js	
denominative	yes	yes	yes	js	
digression	yes	yes	yes	js	
dissonance	yes	yes	yes	js	
distillate	yes	yes	yes	js	
diuretic	yes	no	no	no	`java.*` type interop (io.File, nio.Path, net.URL, time, util.Date)
embarcadero	yes	core	core	core	backends: oci+oci-jvm; JVM-only submodule(s): containerd
enigmatic	yes	no	yes	no	`javax.crypto` has no JS analogue; the Native build uses the OpenSSL provider; `asn1` cross-compiles everywhere
escapade	yes	yes	yes	js	
escritoire	yes	yes	yes	js	
espionage	yes	no	no	no	transitively JVM-only through `obligatory.json`
ethereal	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
eucalyptus	yes	yes	yes	js	JVM-only submodule(s): syslog
exegesis	yes	no	no	no	LSP server; depends on JVM-only `ethereal`/`exoskeleton`
exoskeleton	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
facsimile	yes	no	no	no	memory-mapped random-access reads (`galilei.jvm` `Ram`), JCE
frontier	yes	yes	yes	js	
fulminate	yes	yes	yes	js	
galilei	yes	core	core	wasi	backends: core+jvm+wasi; JVM-only submodule(s): jvm
gastronomy	yes	yes	yes	js	backends: core-jvm+core-native
geodesy	yes	yes	yes	js	
gesticulate	yes	yes	yes	js	
gigantism	yes	yes	yes	js	
gnossienne	yes	yes	yes	js	
gossamer	yes	yes	yes	js	
graffiti	yes	yes	no	js	
guillotine	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
hallucination	yes	yes	yes	js	backends: core-jvm+core-native
harlequin	yes	no	no	no	syntax highlighting via `anthology.scala` (the compiler)
hellenism	yes	core	no	core	backends: core+jvm; JVM-only submodule(s): jvm
hieroglyph	yes	yes	yes	js	backends: core-jvm+core-native
honeycomb	yes	yes	no	js	
hyperbole	yes	no	no	no	depends on JVM-only `harlequin.ansi`; JVM-only submodule(s): stacks
hypotenuse	yes	yes	yes	js	
imperial	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
inimitable	yes	yes	yes	js	
iridescence	yes	yes	yes	js	
jacinta	yes	yes	yes	js	JVM-only submodule(s): http, schema, staged
kaleidoscope	yes	yes	yes	js	
larceny	yes	no	no	no	compiler plugin: uses the JVM-only dotty compiler API
legerdemain	yes	yes	no	js	
locomotion	yes	yes	yes	js	JVM-only submodule(s): staged
mandible	yes	no	no	no	depends on JVM-only `hyperbole`
mercator	yes	yes	yes	js	
metamorphose	yes	yes	yes	js	
monotonous	yes	yes	yes	js	
mosquito	yes	yes	yes	js	
murmuration	yes	yes	yes	js	
nomenclature	yes	yes	yes	js	
obligatory	yes	yes	yes	js	JVM-only submodule(s): grpc, json
octogenarian	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
orthodoxy	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
panopticon	yes	yes	yes	js	
parasite	yes	core	core	core	backends: core-jvm+core-native; JVM-only submodule(s): jvm
perihelion	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
phoenicia	yes	yes	yes	js	
plutocrat	yes	yes	yes	js	
pneumatic	yes	yes	yes	js	backends: flate-jvm+flate-native
polaris	yes	yes	yes	js	
polysyllabic	yes	yes	yes	js	
polyvinyl	yes	yes	yes	js	
praxinoscope	yes	yes	yes	js	
prepositional	yes	yes	yes	js	
prescience	yes	no	no	no	expansion-time instance evaluation via the macro classloader
probably	yes	yes	yes	js	backends: coverage-jvm+coverage-native
profanity	yes	yes	yes	js	
prophesy	yes	yes	yes	js	
proscenium	yes	yes	yes	js	
punctuation	yes	yes	no	js	JVM-only submodule(s): ansi
quantitative	yes	yes	yes	js	
querencia	yes	yes	no	js	
reliquary	yes	no	no	no	`stratiform.binary` is transitively JVM-only
revolution	yes	no	no	no	JAR manifests (`java.util.jar`)
rudiments	yes	yes	yes	js	
savagery	yes	yes	no	js	
scintillate	yes	no	no	no	HTTP server via `telekinesis`/`coaxial` sockets
sedentary	yes	no	no	no	benchmarking via JVM-only `superlunary`/`anthology`
serpentine	yes	yes	yes	js	
sibylline	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
spectacular	yes	yes	yes	js	
stenography	yes	yes	yes	js	
stratiform	yes	yes	yes	js	JVM-only submodule(s): binary, binaryStaged, http, staged
superlunary	yes	no	no	no	backends: core+jvm; JVM runtime staging backend
surveillance	yes	no	no	no	file watching (`java.nio.file` WatchService)
symbolism	yes	yes	yes	js	
synesthesia	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
tarantula	yes	no	no	no	browser automation; depends on JVM-only `guillotine`/`telekinesis.jvm`
telekinesis	yes	core	no	wasi	backends: core+jvm+wasi; JVM-only submodule(s): jvm
tessellate	yes	yes	yes	js	
turbulence	yes	yes	yes	wasi	backends: core+wasi
typonym	yes	yes	yes	js	
ultimatum	yes	yes	yes	js	
ulysses	yes	no	no	no	transitively JVM-only (networking/crypto/fs/process)
