# date	indicator	count
2026-09-15	???	22
2026-09-15	Unsafe	154
2026-09-15	asInstanceOf	2182
2026-09-15	catch-all	147
2026-09-15	get	327
2026-09-15	head	1029
2026-09-15	isInstanceOf	80
2026-09-15	last	230
2026-09-15	nn	2077
2026-09-15	null	550
2026-09-15	readUnchecked	536
2026-09-15	stdlib	329
2026-09-15	throw	123
2026-09-15	unchecked	163
2026-09-15	uncheckedVariance	5
2026-09-15	unsafe	1133
2026-09-15	unsafe-gate	27
2026-09-15	unsafe-ungated	10
2026-09-15	unsafeAdvanceBy	10
2026-09-15	unsafeAssumePure	470
2026-09-15	unsafeAssumeSeparate	175
2026-09-15	unsafeBuffer	12
2026-09-15	unsafeBumpColumn	3
2026-09-15	unsafeBumpLine	3
2026-09-15	unsafeChild	12
2026-09-15	unsafeDataBuffer	3
2026-09-15	unsafeDatum	15
2026-09-15	unsafeErasedValue	50
2026-09-15	unsafeExceptions	29
2026-09-15	unsafeFrom	4
2026-09-15	unsafeFromArray	6
2026-09-15	unsafeFrozen	202
2026-09-15	unsafeGet	5
2026-09-15	unsafeImmutable	12
2026-09-15	unsafeInterpolate	1
2026-09-15	unsafeJvm	145
2026-09-15	unsafeMatchable	2
2026-09-15	unsafeMutable	7
2026-09-15	unsafeNulls	10
2026-09-15	unsafePos	22
2026-09-15	unsafeRaw	50
2026-09-15	unsafeSetColumn	3
2026-09-15	unsafeStorage	12
2026-09-15	unsafeTextBuffer	3
2026-09-15	unsafeWrapArray	4
2026-09-15	unsafeWriteEnd	9
2026-09-15	unsafely	169
2026-09-15	untrackedCaptures	417
2026-09-15	var	4448
2026-09-15	while	2312
