# path	while	readUnchecked	charAt
lib/acyclicity/src/core/acyclicity_core.scala	0	0	1
lib/anthology/src/core/anthology.Toolchain.scala	3	0	0
lib/archimedes/src/core/archimedes.Cell.scala	0	0	5
lib/archimedes/src/core/archimedes.Ergo.scala	11	0	12
lib/archimedes/src/core/archimedes.Mathml.scala	1	1	0
lib/aviation/src/core/aviation.HebrewCalendar.scala	5	0	0
lib/aviation/src/core/aviation.LeapSeconds.scala	3	0	0
lib/aviation/src/core/aviation.Timespan.scala	2	0	0
lib/aviation/src/core/aviation.internal.scala	1	0	1
lib/aviation/src/core/aviation.timestampInternal.scala	1	0	0
lib/bitumen/src/core/bitumen.Pax.scala	3	4	0
lib/bitumen/src/core/bitumen.Tar.scala	3	0	0
lib/bitumen/src/core/bitumen.Tarfile.scala	4	3	0
lib/breviloquence/src/core/breviloquence.Cbor.scala	30	7	1
lib/breviloquence/src/core/breviloquence_core.scala	1	1	0
lib/burdock/src/core/burdock.internal.scala	1	0	0
lib/cacophony/src/core/cacophony.Audio.scala	2	0	0
lib/cacophony/src/core/cacophony.Outlet.scala	1	0	0
lib/cacophony/src/core/cacophony.Pcm.scala	1	0	0
lib/caesura/src/core/caesura.Dsv.scala	4	8	0
lib/caesura/src/core/caesura.Sheet.scala	5	0	3
lib/camouflage/src/core/camouflage.LruCache.scala	1	0	0
lib/cataclysm/src/core/cataclysm.CssParser.scala	3	0	1
lib/cataclysm/src/core/cataclysm.SelectorParser.scala	10	0	1
lib/cataclysm/src/core/cataclysm.SyntaxParser.scala	11	0	0
lib/cataclysm/src/core/cataclysm.ValueTokenizer.scala	10	0	0
lib/charisma/src/core/charisma.PeriodicTable.scala	0	1	0
lib/coaxial/src/core/coaxial_core.scala	2	0	0
lib/concordance/src/core/rudiments.Grouping.scala	6	0	0
lib/concordance/src/core/rudiments.Lattice.scala	1	0	0
lib/concordance/src/core/rudiments.Scribe.scala	1	0	0
lib/concordance/src/core/rudiments.Surveyor.scala	2	0	0
lib/contextual/src/core/contextual.Interpolation.scala	2	0	4
lib/corpuscular/src/core/corpuscular_core.scala	8	0	0
lib/degustation/src/core/degustation.Atomizer.scala	2	0	0
lib/delicious/src/core/delicious.Markup.scala	3	0	2
lib/denominative/src/core/denominative.Applicable.scala	0	1	1
lib/denominative/src/core/denominative.Definable.scala	1	1	0
lib/denominative/src/core/denominative.Terminable.scala	0	1	1
lib/denominative/src/core/denominative.internal.scala	1	0	0
lib/denominative/src/core/denominative_core.scala	10	0	0
lib/digression/src/core/digression.Smap.scala	1	0	1
lib/digression/src/core/digression.StackTrace.scala	1	0	6
lib/dissonance/src/core/dissonance.Redraft.scala	3	0	0
lib/distillate/src/core/distillate.Decodable.scala	0	0	1
lib/enigmatic/src/core/enigmatic.Pem.scala	2	0	0
lib/escapade/src/core/escapade.Ansi.scala	2	0	2
lib/escapade/src/core/escapade.Imprintable.scala	1	2	0
lib/escapade/src/core/escapade.Teletype.scala	7	18	1
lib/escapade/src/core/escapade.internal.scala	1	1	0
lib/escritoire/src/core/escritoire.Grid.scala	0	2	0
lib/escritoire/src/core/escritoire.Tabulation.scala	0	2	0
lib/espionage/src/core/espionage.Acp.scala	1	0	0
lib/ethereal/src/core/ethereal.Launcher.scala	3	0	0
lib/eucalyptus/src/core/eucalyptus.Logger.scala	1	0	0
lib/exegesis/src/core/exegesis.Lsp.scala	6	0	5
lib/facsimile/src/core/facsimile.Ascii85.scala	3	0	0
lib/facsimile/src/core/facsimile.CharMap.scala	3	0	1
lib/facsimile/src/core/facsimile.ContentTokens.scala	1	0	0
lib/facsimile/src/core/facsimile.ContentWriter.scala	2	2	0
lib/facsimile/src/core/facsimile.Cos.scala	2	0	1
lib/facsimile/src/core/facsimile.CosLexer.scala	9	0	0
lib/facsimile/src/core/facsimile.CosParser.scala	2	0	0
lib/facsimile/src/core/facsimile.CosWriter.scala	1	0	1
lib/facsimile/src/core/facsimile.Filter.scala	2	0	0
lib/facsimile/src/core/facsimile.FontEmbedder.scala	0	2	0
lib/facsimile/src/core/facsimile.Gathering.scala	0	1	0
lib/facsimile/src/core/facsimile.Guard.scala	3	2	0
lib/facsimile/src/core/facsimile.Pdf.scala	5	6	2
lib/facsimile/src/core/facsimile.PdfEncoding.scala	3	1	4
lib/facsimile/src/core/facsimile.Predictor.scala	9	2	0
lib/facsimile/src/core/facsimile.Rc4.scala	3	0	0
lib/facsimile/src/core/facsimile.Scan.scala	0	3	0
lib/facsimile/src/core/facsimile.StandardFonts.scala	0	1	1
lib/facsimile/src/core/facsimile.TextExtractor.scala	0	0	2
lib/facsimile/src/core/facsimile.Xref.scala	9	7	1
lib/fulminate/src/core/fulminate.TextEscapes.scala	0	0	1
lib/fulminate/src/core/fulminate.internal.scala	0	0	2
lib/galilei/src/core/galilei.AccessRegister.scala	1	0	0
lib/galilei/src/core/galilei.Local.scala	0	0	3
lib/gastronomy/src/core/gastronomy.Blake3.scala	9	0	0
lib/gastronomy/src/core/gastronomy.Digest.scala	1	0	2
lib/gastronomy/src/core/gastronomy.PureHashes.scala	23	0	0
lib/geodesy/src/core/geodesy.Compass.scala	0	3	0
lib/geodesy/src/core/geodesy.internal.scala	0	0	1
lib/gesticulate/src/core/gesticulate.Multipart.scala	3	1	0
lib/gossamer/src/core/gossamer.Cuttable.scala	1	0	0
lib/gossamer/src/core/gossamer.Decimalizer.scala	2	0	1
lib/gossamer/src/core/gossamer.Pue.scala	1	0	1
lib/gossamer/src/core/gossamer.Textual.scala	0	0	1
lib/gossamer/src/core/gossamer.Writing.scala	0	2	0
lib/gossamer/src/core/gossamer.internal.scala	6	0	3
lib/gossamer/src/core/gossamer_core.scala	7	0	8
lib/guillotine/src/core/guillotine.Process.scala	1	0	0
lib/guillotine/src/core/guillotine.internal.scala	2	0	0
lib/hallucination/src/core/hallucination.Quantization.scala	2	0	0
lib/hallucination/src/core/hallucination.Raster.scala	6	0	0
lib/harlequin/src/core/harlequin.Fragment.scala	3	0	5
lib/harlequin/src/core/harlequin.Lexis.scala	1	0	1
lib/harlequin/src/core/harlequin.SourceCode.scala	1	1	1
lib/hieroglyph/src/core/hieroglyph.CollationTable.scala	16	0	1
lib/hieroglyph/src/core/hieroglyph.GraphemeBreak.scala	2	0	0
lib/hieroglyph/src/core/hieroglyph.Normalization.scala	7	0	0
lib/hieroglyph/src/core/hieroglyph.Unicode.scala	0	0	1
lib/honeycomb/src/core/honeycomb.Honeycomb.scala	0	2	0
lib/honeycomb/src/core/honeycomb.Html.scala	12	0	2
lib/honeycomb/src/core/honeycomb.Tag.scala	0	0	1
lib/honeycomb/src/core/honeycomb.internal.scala	20	0	1
lib/hyperbole/src/core/hyperbole.internal.scala	0	1	0
lib/hypotenuse/src/core/hypotenuse.Bcd.scala	7	0	3
lib/hypotenuse/src/core/hypotenuse.Decimal.scala	35	1	18
lib/hypotenuse/src/core/hypotenuse.internal.scala	4	0	0
lib/hypotenuse/src/core/hypotenuse.rationalInternal.scala	33	0	19
lib/hypotenuse/src/core/hypotenuse_core.scala	4	0	0
lib/jacinta/src/core/jacinta.Json.Parser.scala	57	12	0
lib/jacinta/src/core/jacinta.Json.scala	37	46	3
lib/jacinta/src/core/jacinta.JsonPointer.scala	1	0	4
lib/jacinta/src/core/jacinta.internal.scala	13	20	3
lib/kaleidoscope/src/core/kaleidoscope.JavaBaseRegex.scala	1	0	0
lib/kaleidoscope/src/core/kaleidoscope.Regex.scala	0	0	6
lib/locomotion/src/core/locomotion.Protobuf.scala	2	0	0
